26870816_1	newly generated mir-23a destabilizes keap1 mrna by binding to its 3'utr.
21867514_5	although the expression of cdyl and rcor3 is less obviously affected by overexpression of mir-141 and mir-200c in panc-1 cells as compared to ctbp2 and zeb1 , we observed a downregulation of cdyl and rcor3 on the protein level, when mir-141 or mir-200c were transiently transfected in panc-1 cells ,4d, suggesting that cdyl and rcor3 are also target of the mir141-200c cluster.
26553359_1	these observations demonstrate that mir-198 binds directly to the 3'utr of shmt1mrna, negatively regulating shmt1 expression.
26553359_2	mir-198 suppresses cell proliferation, enhances cell apoptosis, and causes cell-cycle arrest in lung adenocarcinoma by directly targeting shmt1.
26359029_1	piglets born to betaine-supplemented sows demonstrated a significant up-regulation in the hepatic expression of mir-124a and mir-4334-5p , which is predicted to target stat3.
26359029_2	five binding sites of mir-124a and 3 binding sites of mir-4334-5p were predicted to target 3'utr of porcine stat3 with an online mirna prediction tool.
19082544_1	such a study revealed that this mirna-induced knockdown of aatf gene, within normal human blood mononuclear cells, was responsible for the suppression of genes coding for bcl-2, c-myc, par-4 and dicer.
21915288_1	luciferase assayand transfection confirmed mir-143 binding to 3'utr of prostaglandin-endoperoxidase synthase 2 mrna and mir-143 regulation of ptgs2 in amcs.
21915288_2	figure 3mir-143 binding to the 3'utr of ptgs2 mrna.
21915288_3	ptgs2 mrna expression levels, however, in both aecs and amcs were not significantly changed by mir-143 transfection.
21915288_4	these results suggested that mir-143 regulation of ptgs2 expression occurs largely by translational inhibition than by ptgs2 mrna degradation in the amnion, particularly in amcs.
25034398_1	the activity of mcl-1 3'utr reporter was inhibited by co-transfection with mir-193b mimic.
22324810_1	micf inhibits lrp synthesis by an antisense mechanism that involves direct base-pairing to the lrp mrna.
26163618_2	up-regulation of mir-99a would markedly reduce the expression of mtor and its downstream phosphorylated proteins .
26163618_3	similar to restoring mir-99a expression, mtor down-regulation suppressed cell viability and increased cell apoptosis, whereas restoration of mtor expression significantly reversed the mir-99a antitumor activity and the inhibition of mtor p-4e-bp1 p-s6k1 signal pathway profile. in clinical specimens and cell lines, mtor was commonly overexpressed and its protein levels were statistically inversely correlated with mir-99a expression.
9230301_1	genetic screens of randomly inserted lacz translational fusion experiment shows that yhiv is repressed by oxys.
9230301_2	oxys repression of yhiv is partially sigmas-dependent.
26782975_1	these results indicated that mirna-378 affected bmp4 expression at the mrna as well as the protein level.
26782975_2	the results showed that inmirna-378-transfected cells, the luciferase activity of the bmp4 3'utr-driven vector was reduced by ~60% compared with that in the negative control-transfected group; however,luciferase activity of the mutant luciferase reporter vector for bmp4 was not affected by mirna-378 .
26782975_3	this result confirmed that bmp4 is a direct target of mirna-378.
26782975_4	this indicates that the downregulation of bmp4 mimics the function of mirna-378 on myogenic differentiation of c2c12 cells, further indicating that mirna-378 regulates myogenic differentiation by downregulating bmp4.
26622903_1	these data demonstrated that mir- 195 inhibits the expression of ccnd2 and myb in hela cells.
26622903_2	the results showed that mir- 195, but not the nc, specifically decreased the luciferase levels from the reporters , suggesting that mir- 195 regulates the expression of ccnd2 and myb directly.
26622903_3	the present study demonstrated that mir-195 directly targeted the 3'utr of the myb gene and inhibited its expression in hela cells, suggesting that the deregulation of mir-195-mediated myb inhibition may serve as a general mechanism in the development of a variety of cancers .
20947829_1	using in vitro and in vivo approaches, we demonstrate that mir-218 directly represses the expression of robo1, robo2, and glucuronyl c5-epimerase , and that an intact mir-218-slit-robo regulatory network is essential for normal vascularization of the retina.
20947829_2	we identified mir-218-1 and mir-218-2 within intron 14 of the mouseslit2 and slit3 genes, respectively .
20947829_3	the activity of the luciferase reporter linked to the robo1, robo2, and glce 3'-utrs, normalized to -beta-galactosidase activity, displayed dose-dependent repression by mir-218 .
20947829_4	furthermore, our results suggest that robo1 2 and glce positively influence the migration rate of ec cells in culture and that mir-218 counteracts this process.
20947829_5	importantly, the mrna and protein levels of robo1, robo2, and glce were enhanced by mir-218 knockdown in the retina , although robo2 mrna levels were not significantly affected by mir-218 knockdown .
20947829_6	quantification of western band intensity confirmed the significant enrichment of robo1, robo2, and glce protein levels on silencing of mir-218 .
23543060_1	based on computational analyses revealing 2 mir-26-binding sites in the 3'utr of kcnj2 , we conducted western blot analysis and luciferase reporter gene assays to experimentally clarify whether kcnj2 is in fact a target for mir-26.
23543060_2	these results are consistent with computational predictions excluding these genes as targets for mir-26 and indicate that the effect of mir-26 on kcnj2 kir2.1 ik1 is target specific.
22307404_1	to confirm that the decrease in the luciferase activity was indeed due to the direct binding of mir-125b to arid3b 3'utr, c1-mut construct was generated.
22307404_5	no significant decrease in cell proliferation was noted in arid3b silenced cells compared to arid3b expressing mcf7 , indicating that mir-125b targeting of arid3b was important for cell migration behavior changes.
21668589_2	this raises a possibility that the down-regulation of mir126 triggers the upregulation of spred1.
21668589_5	these results strongly support our hypothesis that mir126 regulates fcepsilonri-mediated cytokine production by directly targeting spred1 in mast cells.
26458304_1	the publicly available programs diana lab , miranda targetscan and pictar have been indicated mir-219-5p potential targets pdgfralpha.
26458304_2	mir-219-5p mimics had no effect on the luciferase activity of the pmir-pdgfralpha-mut construct containing the mutated putative mir-219-5p binding sequence in the 3'utr of pdgfralpha mrna .
26458304_3	these data suggest that pdgfralpha is one of the direct targets of mir-219-5p.
26458304_4	the increased endogenous mir-219-5p levels were associated with significantly decreased endogenous pdgfralpha mrna and protein expression.
26458304_5	transfection with 150 pmol of mir-219-5p inhibitor showed a decrease of mir-219-5p expression and an increase pdgfralpha mrna and protein expression compared with the inhibitor control.
23085654_1	in this study, we found that the expression of ghr mrna and protein was regulated by transfected bta-mir-15a synthetics.
23085654_2	the lactogenic activity of gh may be elicited directly through the activation of stat5 followed by the activation of milk protein gene transcription in alveolar cells , so we suggest that the operative mechanism was that mir-15a deregulated ghr, affected jak2-stat5 signal pathway and decreased the expression of -beta-casein.
23085654_4	the present study showed that bta-mir-15a negatively regulated the expression of ghr, confirming the prediction by bioinformatics that the ghr gene could be a potential target of bta-mir-15a.
26825552_1	these evidences suggest that mir-10 regulate human ecs behavior through targeting mib1 as well.
20813046_1	here we showed that mir-221 222 inhibited cell apoptosis by targeting pro-apoptotic gene puma in human glioma cells.
20813046_2	enforced expression of mir-22 222 induced cell survival whereas knockdown of mir-221 222 rendered cells to apoptosis.
18246122_1	mir-221 and -222 target the 3'utr of kit and p27 mrnas, but interfere with trail signaling mainly through p27 .
21152115_1	ebv mir-bart5 inhibits the expression of the cellular protein puma to promote host cell survival and the establishment of latent ebv in-fection.
23569431_1	mechanistically, we found that overexpression of mir-34a led to decreased eag1 expression in osteosarcoma cells while inhibition of mir-34a increased eag1 expression.
23569431_2	taken together, our results suggest that mir-34a could inhibit osteosarcoma growth via the down regulation of eag1 expression.
23569431_3	these results suggest that the tumor suppressor activity of mir-34a is mediated through negative regulation of oncogenic protein eag1.
